,objectid,wellwidth,welllength,pareawidth,lowwell,latitude,longitude,genus
127,128,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,cinnamomum
128,129,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,magnolia
129,130,5.0,5.0,0.0,Moderate,37.80505999961946,-122.27301999967312,ginkgo
130,131,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,ginkgo
131,132,5.0,8.0,0.0,Low,37.80505999961946,-122.27301999967312,ficus
132,133,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
133,134,0.0,0.0,0.0,None,37.80505999961946,-122.27301999967312,prunus
134,135,4.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,crataegus
135,136,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,gleditsia
136,137,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,liquidambar
137,138,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
138,139,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
139,140,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
140,141,2.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,lophostemon
141,142,4.0,5.0,0.0,High,37.80505999961946,-122.27301999967312,lophostemon
142,143,6.0,9.0,0.0,Low,37.80505999961946,-122.27301999967312,lophostemon
143,144,2.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,podocarpus
144,145,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,lophostemon
145,146,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,trachycarpus
146,147,3.0,4.0,0.0,Moderate,37.80505999961946,-122.27301999967312,liriodendron
147,148,4.0,6.0,0.0,None,37.80505999961946,-122.27301999967312,prunus
148,149,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,pyrus
149,150,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,morus
150,151,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,liquidambar
151,152,2.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,lophostemon
152,153,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,ulmus
153,154,2.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,stump
154,155,6.0,6.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
155,156,2.0,2.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
156,157,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,NaN
157,158,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,schinus
158,159,2.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,lophostemon
159,160,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
160,161,3.0,8.0,0.0,Low,37.80505999961946,-122.27301999967312,arbutus
161,162,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,pyrus
162,163,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,ginkgo
163,164,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,pyrus
164,165,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,cercis
165,166,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
166,167,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
167,168,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,NaN
168,169,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,NaN
169,170,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,prunus
170,171,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,magnolia
171,172,3.0,6.0,0.0,None,37.80505999961946,-122.27301999967312,cinnamomum
172,173,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
173,174,3.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
174,175,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,liquidambar
175,176,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
176,177,2.5,2.5,0.0,Low,37.80505999961946,-122.27301999967312,platanus
177,178,0.0,0.0,2.0,None,37.80505999961946,-122.27301999967312,magnolia
178,179,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,magnolia
179,180,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,magnolia
180,181,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,magnolia
181,182,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,platanus
182,183,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,lophostemon
183,184,2.0,5.0,0.0,Moderate,37.80505999961946,-122.27301999967312,liquidambar
184,185,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,podocarpus
185,186,2.0,2.0,0.0,None,37.80505999961946,-122.27301999967312,liquidambar
186,187,2.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,liquidambar
187,188,3.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,ficus
188,189,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,platanus
189,190,3.0,6.0,0.0,Moderate,37.80505999961946,-122.27301999967312,pyrus
190,191,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,robinia
191,192,4.0,8.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
192,193,6.0,6.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
193,194,6.0,6.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
194,195,3.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,lophostemon
195,196,5.0,27.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
196,197,3.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,quercus
197,198,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,platanus
198,199,0.0,0.0,2.0,None,37.80505999961946,-122.27301999967312,prunus
199,200,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
200,201,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,liquidambar
201,202,0.0,0.0,2.0,None,37.80505999961946,-122.27301999967312,liquidambar
202,203,4.0,4.0,0.0,High,37.80505999961946,-122.27301999967312,prunus
203,204,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
204,205,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,pistacia
205,206,3.0,5.0,0.0,Low,37.80505999961946,-122.27301999967312,pistacia
206,207,4.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
207,208,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,acer
208,209,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,alnus
209,210,3.0,3.0,0.0,High,37.80505999961946,-122.27301999967312,platanus
210,211,0.0,0.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
211,212,2.0,5.0,0.0,Low,37.80505999961946,-122.27301999967312,NaN
212,213,4.0,5.0,0.0,Low,37.80505999961946,-122.27301999967312,eucalyptus
213,214,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,quercus
214,215,4.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,ficus
215,216,2.0,30.0,0.0,Low,37.80505999961946,-122.27301999967312,prunus
216,217,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,liquidambar
217,218,2.0,5.0,0.0,Low,37.80505999961946,-122.27301999967312,lophostemon
218,219,4.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,magnolia
219,220,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,magnolia
220,221,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,NaN
221,222,3.0,5.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
222,223,5.0,12.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
223,224,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,platanus
224,225,6.0,6.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
225,226,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,lyonothamnus
226,227,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,magnolia
227,228,3.0,4.0,0.0,Moderate,37.80505999961946,-122.27301999967312,magnolia
228,229,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,pyrus
229,230,4.0,5.0,0.0,High,37.80505999961946,-122.27301999967312,platanus
230,231,0.0,0.0,2.0,None,37.80505999961946,-122.27301999967312,acer
231,232,3.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,lophostemon
232,233,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
233,234,2.0,2.0,0.0,Low,37.80505999961946,-122.27301999967312,fraxinus
234,235,2.0,2.0,0.0,High,37.80505999961946,-122.27301999967312,fraxinus
235,236,2.0,2.0,0.0,Moderate,37.80505999961946,-122.27301999967312,fraxinus
236,237,3.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,platanus
237,238,3.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,platanus
238,239,3.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,pyrus
239,240,2.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
240,241,4.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,callistemon
241,242,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,NaN
242,243,1.0,2.0,0.0,Moderate,37.80505999961946,-122.27301999967312,pyrus
243,244,5.0,7.0,0.0,None,37.80505999961946,-122.27301999967312,liquidambar
244,245,6.0,8.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
245,246,5.0,10.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
246,247,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
247,248,2.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,lophostemon
248,249,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,platanus
249,250,8.0,12.0,0.0,None,37.80505999961946,-122.27301999967312,liquidambar
250,251,6.0,9.0,0.0,None,37.80505999961946,-122.27301999967312,liquidambar
251,252,5.0,5.0,0.0,Moderate,37.80505999961946,-122.27301999967312,platanus
252,253,4.0,4.0,0.0,Moderate,37.80505999961946,-122.27301999967312,platanus
253,254,3.0,6.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
254,255,4.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,lophostemon
255,256,3.0,3.0,0.0,High,37.80505999961946,-122.27301999967312,pistacia
256,257,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,trachycarpus
257,258,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,betula
258,259,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,platanus
259,260,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,platanus
260,261,4.0,5.0,0.0,Moderate,37.80505999961946,-122.27301999967312,ficus
261,262,4.0,8.0,0.0,Low,37.80505999961946,-122.27301999967312,liquidambar
262,263,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,prunus
263,264,2.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
264,265,5.0,7.5,0.0,Low,37.80505999961946,-122.27301999967312,pyrus
265,266,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,washingtonia
266,267,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
267,268,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,prunus
268,269,4.0,4.0,0.0,High,37.80505999961946,-122.27301999967312,platanus
269,270,4.0,4.0,0.0,High,37.80505999961946,-122.27301999967312,platanus
270,271,3.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
271,272,5.0,9.0,0.0,Moderate,37.80505999961946,-122.27301999967312,fraxinus
272,273,5.0,5.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
273,274,0.0,0.0,2.0,None,37.80505999961946,-122.27301999967312,lophostemon
274,275,4.0,12.0,0.0,Low,37.80505999961946,-122.27301999967312,liquidambar
275,276,0.0,0.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
276,277,0.0,0.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
277,278,8.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
278,279,4.0,7.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
279,280,4.0,7.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
280,281,3.0,5.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
281,282,3.0,5.0,0.0,Moderate,37.80505999961946,-122.27301999967312,platanus
282,283,4.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,dead
283,284,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,prunus
284,285,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,syzygium
285,286,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,pinus
286,287,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,alnus
287,288,2.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,liquidambar
288,289,5.0,8.0,0.0,Moderate,37.80505999961946,-122.27301999967312,liquidambar
289,290,5.0,9.0,0.0,Low,37.80505999961946,-122.27301999967312,liquidambar
290,291,5.0,9.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
291,292,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,eucalyptus
292,293,4.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,nyssa
293,294,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,betula
294,295,4.0,6.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
295,296,5.0,9.0,0.0,None,37.80505999961946,-122.27301999967312,ficus
296,297,5.0,9.0,0.0,None,37.80505999961946,-122.27301999967312,ficus
297,298,5.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,schinus
298,299,4.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,schinus
299,300,3.0,3.0,0.0,None,37.80505999961946,-122.27301999967312,liquidambar
300,301,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,pyrus
301,302,5.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,magnolia
302,303,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,pyrus
303,304,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,lophostemon
304,305,2.0,2.0,0.0,None,37.80505999961946,-122.27301999967312,robinia
305,306,4.0,8.0,0.0,Low,37.80505999961946,-122.27301999967312,liquidambar
306,307,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,crataegus
307,308,2.0,3.0,0.0,High,37.80505999961946,-122.27301999967312,prunus
308,309,4.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,pyrus
309,310,3.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,lagerstroemia
310,311,4.0,5.5,0.0,None,37.80505999961946,-122.27301999967312,prunus
311,312,4.0,9.0,0.0,Moderate,37.80505999961946,-122.27301999967312,liquidambar
312,313,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
313,314,0.0,0.0,4.0,Low,37.80505999961946,-122.27301999967312,washingtonia
314,315,0.0,0.0,4.0,Moderate,37.80505999961946,-122.27301999967312,lagerstroemia
315,316,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
316,317,0.0,0.0,6.0,None,37.80505999961946,-122.27301999967312,magnolia
317,318,0.0,0.0,6.0,None,,,magnolia
318,319,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,lophostemon
319,320,2.0,3.0,0.0,Moderate,37.80505999961946,-122.27301999967312,lagerstroemia
320,321,4.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,pistacia
321,322,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,stump
322,323,2.0,5.0,0.0,Low,37.80505999961946,-122.27301999967312,crataegus
323,324,2.0,9.0,0.0,Low,37.80505999961946,-122.27301999967312,crataegus
324,325,4.0,4.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
325,326,2.0,4.0,0.0,None,37.80505999961946,-122.27301999967312,lophostemon
326,327,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,prunus
327,328,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,prunus
328,329,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,NaN
329,330,0.0,0.0,4.0,None,37.80505999961946,-122.27301999967312,acer
330,331,0.0,0.0,3.0,None,37.80505999961946,-122.27301999967312,NaN
331,332,4.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
332,333,0.0,0.0,5.0,None,37.80505999961946,-122.27301999967312,sequoia
333,334,0.0,0.0,0.0,None,37.80505999961946,-122.27301999967312,liquidambar
334,335,3.0,2.0,0.0,Moderate,37.80505999961946,-122.27301999967312,quercus
335,336,4.0,9.0,0.0,None,37.80505999961946,-122.27301999967312,liquidambar
336,337,0.0,0.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
337,338,6.0,6.0,0.0,Low,37.80505999961946,-122.27301999967312,platanus
338,339,3.0,5.0,0.0,None,37.80505999961946,-122.27301999967312,platanus
339,340,0.0,0.0,2.0,None,37.80505999961946,-122.27301999967312,ginkgo
340,341,2.5,2.5,0.0,Moderate,37.80505999961946,-122.27301999967312,callistemon
341,342,2.0,2.0,0.0,Moderate,37.80505999961946,-122.27301999967312,nyssa
342,343,3.0,3.0,0.0,High,37.80505999961946,-122.27301999967312,lophostemon
343,344,2.0,3.0,0.0,Low,37.80505999961946,-122.27301999967312,pistacia
